id,label
,
1,Tim Bradstreet
2,Garth Ennis
8193,Carrie Beadle
4,J. Michael Straczynski
8197,Chad Wayne Hardin
9,Brian Azzarello
10,Richard Corben
11,Chuck Austen
8204,Charlie Beckerman
15,Alan Moore
16,Alan Davis
17,Frank Miller
18,Jeph Loeb
19,Tim Sale
20,David Mazzucchelli
21,Kevin Smith
8209,Chris Arrant
23,David Mack
24,Brian Michael Bendis
25,Alex Maleev
26,Bill Sienkiewicz
8219,Chris Irving
28,Greg Rucka
8221,Chris Samnee
30,Stan Lee
29,Yoshitaka Amano
32,Steve Ditko
8228,Chris &quot;Doc&quot; Wyatt
42,Larry Hama
44,Chris Claremont
8237,Christopher Fama
46,Dave Cockrum
49,Darick Robertson
52,Bruce Jones
8244,Chynna Clugston-Major
55,Paul Jenkins
56,Jae Lee
59,Ben Dunn
60,Arnold Drake
8253,Colleen Coover
61,Jim Steranko
63,Alex Ross
64,Grant Morrison
8255,Corey Lewis
66,Frank Quitely
8260,Craig Rousseau
71,Mark Buckingham
72,Humberto Ramos
73,Steve Dillon
74,Chuck Dixon
75,Todd Mcfarlane
8264,Cynthia Martin
87,Mark Bagley
88,Mark Millar
91,Frank Tieri
94,Peter Milligan
95,Mike Allred
96,Jim Lee
97,Devin Grayson
8292,Daisy De Puthad
101,Carlos Pacheco
8293,Dale Crain
104,Steve Englehart
105,Sal Buscema
106,Bob Brown
8296,Dan Berman
8300,Dan Decarlo
8301,Dan Jolley
110,Christopher Priest
113,John Ostrander
114,Leonardo Manco
115,David Tischman
116,Igor Kordey
119,Mark Waid
120,Ron Garney
121,Peter David
122,Chriscross and Chris Sotomayor
123,Bill Rosemann
125,Frank Brunner
8317,Dario Brizuela
127,John Paul Leon
128,Doug Braithwaite
132,Judd Winick
8331,Dave Mccaig
142,Rod Whigham
8334,Dave Palumbo
144,Steve Gerber
143,Trent Kaniuga
146,Jim Starlin
8336,Dave Taylor
148,Gil Kane
151,Scott Sava
155,Dan Jurgens
8347,David Lafuente Garcia
8349,David Lopez
159,Joe Casey
8351,David Manak
161,Ben Raab
162,John Cassaday
8355,David Perrin
167,Kevin Sharpe
168,John Ney Rieber
8363,David Thorpe
174,Sean Chen
175,Andy Kubert
8367,Dean Motter
177,Michael Gaydos
180,Kieron Dwyer
181,Geoff Johns
182,Esad Ribic
8375,Derek Hess
184,Louise Simonson
185,Frank Cho
188,Georges Jeanty
189,Kyle Hotz
190,Brian K. Vaughan
191,Kaare Andrews
192,Stuart Immonen
193,Simon Bisley
194,Scott Kolins
195,Bruce Timm
196,Jack Kirby
8388,Don Lomax
198,Marie Severin
199,Herb Trimpe
8390,Don Mcgregor
201,Mike Grell
200,Claudio Castellini
205,M. Ryan
206,Mike Wieringo
208,Paco Medina
8400,Dr. Michael J. Vassallo
210,Bill Jemas
211,Mark Bright
8402,Dugan Trodglen
8404,Dustin Weaver
8406,Dwight Coye
215,Ann Nocenti
8407,Dynamic Forces
212,Jason Pearson
218,Keron Grant
217,Arthur Ranson
219,Kia Asamiya
222,Paul Gulacy
223,Doug Moench
228,Ron Zimmerman
229,John Severin
232,Chris Bachalo
234,Kev Walker
236,Tommy Lee Edwards
237,Jeff Jensen
8429,Dave Sharpe
239,Juan Bobillo
240,Marcelo Sosa
241,Dale Keown
242,Judith OBrien
243,Mike Mayhew
245,Jim Mahfood
248,David Finch
254,James Sturm
255,Guy Davis
256,Terry Moore
257,Rick Mays
259,Mark Gruenwald
260,Bob Hall
261,Paul Ryan
262,Paul Neary
263,Dick Ayers
267,Jim Krueger
270,Gene Colan
271,Marv Wolfman
272,Paolo Rivera
273,Leandro Fernandez
274,Tommy Ohtsuka
275,J. Torres
276,Makoto Nakatsuka
277,Terry Dodson
8475,Emily Warren
288,David Peter
290,Rodolfo Migliari
292,Gene Ha
293,Dave Gibbons
295,Clayton Henry
8487,Fabrice Sapolsky
297,Bill Everett
300,Kyle Baker
301,Robert Morales
8495,Francesco Mattina
304,Glenn Fabry
305,Don Heck
306,Phil Jimenez
308,Gary Frank
312,Mike Deodato
8505,Frank Fosco
314,Neal Adams
8504,Frank D'ARMATA
8507,Frank Marafino
317,Howard Porter
8509,Frank Strom
326,Daniel Quantz
8520,Gabriel Hardman
329,Adrian Alphona
8522,Gabriele Dell'otto
8521,Gabriel Morrissette
333,Frank Springer
334,Joe Jusko
338,Staz Johnson
339,Bryan Hitch
340,Ben Lai
343,Sam Kieth
344,Daniel Way
345,Francisco Herrera
8538,George Khoury
347,Trevor Hairsine
